bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry,index_right,source,id,name
way/1032009212-220,220,f,Substation,f,way/1032009212,-5.294927363390164,39.24857966406064,ES,POINT (-5.294927363390164 39.248579664060635),16.0,https://simplemaps.com,ESBA,Badajoz
way/103511952-220,220,f,Substation,f,way/103511952,-6.624058174869065,42.58543754046438,ES,POINT (-6.624058174869065 42.58543754046438),30.0,https://simplemaps.com,ESLE,León
way/103511952-400,400,f,Substation,f,way/103511952,-6.623858107536145,42.58566590051649,ES,POINT (-6.623858107536145 42.58566590051649),30.0,https://simplemaps.com,ESLE,León
way/1038373182-220,220,f,Substation,f,way/1038373182,-5.9311712933154,37.39026330625038,ES,POINT (-5.9311712933154 37.39026330625038),19.0,https://simplemaps.com,ESSE,Sevilla
way/104020696-220,220,f,Substation,f,way/104020696,2.1115956849059683,41.61924851539012,ES,POINT (2.1115956849059683 41.61924851539012),15.0,https://simplemaps.com,ESB,Barcelona
way/104020696-400,400,f,Substation,f,way/104020696,2.111823707570436,41.61945906580944,ES,POINT (2.1118237075704354 41.61945906580944),15.0,https://simplemaps.com,ESB,Barcelona
way/104025895-220,220,f,Substation,f,way/104025895,-6.469696802989335,42.84282465890406,ES,POINT (-6.469696802989335 42.84282465890406),30.0,https://simplemaps.com,ESLE,León
way/104026138-220,220,f,Substation,f,way/104026138,-6.287694046320449,42.93910979750039,ES,POINT (-6.287694046320449 42.939109797500386),30.0,https://simplemaps.com,ESLE,León
way/1042227719-400,400,f,Substation,f,way/1042227719,-2.747506811523394,37.55923241223518,ES,POINT (-2.747506811523394 37.55923241223518),41.0,https://simplemaps.com,ESGR,Granada
way/104370242-220,220,f,Substation,f,way/104370242,-8.356129295185394,43.16703899439158,ES,POINT (-8.356129295185394 43.16703899439158),28.0,https://simplemaps.com,ESC,La Coruña
way/104370242-400,400,f,Substation,f,way/104370242,-8.355934265910934,43.167270471129775,ES,POINT (-8.355934265910934 43.167270471129775),28.0,https://simplemaps.com,ESC,La Coruña
way/104730022-220,220,f,Substation,f,way/104730022,-7.222874286453792,42.3143353691511,ES,POINT (-7.222874286453792 42.3143353691511),25.0,https://simplemaps.com,ESOR,Orense
way/105259481-400,400,f,Substation,f,way/105259481,-3.093934069337979,43.32687524590944,ES,POINT (-3.093934069337979 43.32687524590944),5.0,https://simplemaps.com,ESBI,Bizkaia
way/1054312727-400,400,f,Substation,f,way/1054312727,-7.4642691997983,39.62853428908774,ES,POINT (-7.4642691997983 39.62853428908774),17.0,https://simplemaps.com,ESCC,Cáceres
way/105579046-220,220,f,Substation,f,way/105579046,2.90083397702668,42.0228495898569,ES,POINT (2.9008339770266796 42.0228495898569),14.0,https://simplemaps.com,ESGI,Gerona
way/107479377-220,220,f,Substation,f,way/107479377,-6.357942455913242,39.479663910529446,ES,POINT (-6.357942455913242 39.479663910529446),17.0,https://simplemaps.com,ESCC,Cáceres
way/108259909-220,220,f,Substation,f,way/108259909,-3.6028770547446096,42.27664753932016,ES,POINT (-3.6028770547446096 42.27664753932016),10.0,https://simplemaps.com,ESBU,Burgos
way/108312093-220,220,f,Substation,f,way/108312093,-8.023607938944826,43.151402560849405,ES,POINT (-8.023607938944826 43.151402560849405),28.0,https://simplemaps.com,ESC,La Coruña
way/1087534882-220,220,f,Substation,f,way/1087534882,-5.089782053195181,41.71383440070023,ES,POINT (-5.089782053195181 41.71383440070023),33.0,https://simplemaps.com,ESVA,Valladolid
way/1090854835-220,220,f,Substation,f,way/1090854835,-5.944592919172018,40.8936964852109,ES,POINT (-5.944592919172018 40.8936964852109),31.0,https://simplemaps.com,ESSA,Salamanca
way/109788663-220,220,f,Substation,f,way/109788663,-1.275638522829229,42.59814403127143,ES,POINT (-1.275638522829229 42.59814403127143),2.0,https://simplemaps.com,ESNA,Navarra
way/1100866837-400,400,f,Substation,f,way/1100866837,-0.262144629951351,41.23047562985116,ES,POINT (-0.262144629951351 41.23047562985116),6.0,https://simplemaps.com,ESZ,Zaragoza
