bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
way/181652542-400,400,f,Substation,f,way/181652542,-2.3228347529878235,40.03031965713048,ES,POINT (-2.3228347529878235 40.03031965713048)
way/181664117-220,220,f,Substation,f,way/181664117,-5.759155696551979,37.55703494159128,ES,POINT (-5.759155696551979 37.557034941591276)
way/181664117-400,400,f,Substation,f,way/181664117,-5.758964563433321,37.557262404168384,ES,POINT (-5.758964563433321 37.557262404168384)
way/181677165-220,220,f,Substation,f,way/181677165,-5.415741469933591,36.21169353112119,ES,POINT (-5.415741469933591 36.211693531121185)
way/181906370-220,220,f,Substation,f,way/181906370,-1.6675270770912511,42.097320721376455,ES,POINT (-1.6675270770912511 42.097320721376455)
way/181906370-400,400,f,Substation,f,way/181906370,-1.6673104890513435,42.09753934942476,ES,POINT (-1.6673104890513437 42.09753934942476)
way/181912569-220,220,f,Substation,f,way/181912569,-1.6546789777192177,42.66940056566765,ES,POINT (-1.6546789777192177 42.66940056566765)
way/181912569-400,400,f,Substation,f,way/181912569,-1.6544605544051338,42.66961910135248,ES,POINT (-1.6544605544051338 42.669619101352474)
way/181917947-220,220,f,Substation,f,way/181917947,-1.6796729497011549,42.41317802533546,ES,POINT (-1.6796729497011549 42.41317802533546)
way/182253927-220,220,f,Substation,f,way/182253927,-5.247321909185856,37.64351725772769,ES,POINT (-5.247321909185856 37.64351725772769)
way/182253930-220,220,f,Substation,f,way/182253930,-5.164222012255937,37.52759566305647,ES,POINT (-5.164222012255937 37.52759566305647)
way/182260861-220,220,f,Substation,f,way/182260861,-6.301035468146432,36.67063593539827,ES,POINT (-6.301035468146432 36.67063593539827)
way/182261552-220,220,f,Substation,f,way/182261552,-6.045311613601969,37.00280531814137,ES,POINT (-6.045311613601969 37.00280531814137)
way/187189721-220,220,f,Substation,f,way/187189721,-7.17417139445469,42.167732225571136,ES,POINT (-7.17417139445469 42.167732225571136)
way/187380300-220,220,f,Substation,f,way/187380300,-5.2200509234383325,36.40547894660284,ES,POINT (-5.2200509234383325 36.40547894660284)
way/187392726-220,220,f,Substation,f,way/187392726,-6.62381162831608,42.061563335031245,ES,POINT (-6.62381162831608 42.061563335031245)
way/187645709-400,400,f,Substation,f,way/187645709,-7.860550737780715,43.43942082415271,ES,POINT (-7.860550737780715 43.439420824152705)
way/187830917-220,220,f,Substation,f,way/187830917,-3.670644725580112,37.14569487019391,ES,POINT (-3.6706447255801122 37.14569487019391)
way/189184531-400,400,f,Substation,f,way/189184531,-6.302004369812096,43.36630828276314,ES,POINT (-6.302004369812096 43.36630828276314)
way/189184555-400,400,f,Substation,f,way/189184555,-6.865859000829215,43.24301420542211,ES,POINT (-6.865859000829215 43.24301420542211)
way/189184557-400,400,f,Substation,f,way/189184557,-6.395424327721172,43.291581644254165,ES,POINT (-6.395424327721172 43.291581644254165)
way/189577215-400,400,f,Substation,f,way/189577215,-5.633999984777948,42.79423217941415,ES,POINT (-5.633999984777948 42.79423217941415)
way/190058570-400,400,f,Substation,f,way/190058570,-5.697867885148567,43.30536988376503,ES,POINT (-5.6978678851485665 43.30536988376503)
way/190098039-220,220,f,Substation,f,way/190098039,-5.757149399624898,43.37942828888588,ES,POINT (-5.757149399624898 43.37942828888588)
way/190110739-220,220,f,Substation,f,way/190110739,-5.898183804758818,43.57450924200011,ES,POINT (-5.898183804758818 43.57450924200011)
way/190110739-400,400,f,Substation,f,way/190110739,-5.897978306180818,43.57473613864022,ES,POINT (-5.897978306180818 43.57473613864022)
way/190236352-400,400,f,Substation,f,way/190236352,-2.5012442442254708,41.4366338928409,ES,POINT (-2.5012442442254708 41.4366338928409)
way/190249315-220,220,f,Substation,f,way/190249315,1.446018309487516,41.679661712953454,ES,POINT (1.4460183094875159 41.679661712953454)
way/190249507-220,220,f,Substation,f,way/190249507,1.6671561337904024,41.57703812719343,ES,POINT (1.6671561337904024 41.577038127193426)
way/190289516-220,220,f,Substation,f,way/190289516,0.1968993216821448,42.542604770433655,ES,POINT (0.1968993216821449 42.542604770433655)
way/190289523-220,220,f,Substation,f,way/190289523,0.1447598504084112,42.46981229489716,ES,POINT (0.1447598504084112 42.46981229489716)
way/190907238-220,220,f,Substation,f,way/190907238,-4.822408387653402,40.0027536728691,ES,POINT (-4.822408387653402 40.0027536728691)
way/191053032-220,220,f,Substation,f,way/191053032,-5.784501473610402,36.49690241702884,ES,POINT (-5.784501473610402 36.496902417028835)
way/191095881-220,220,f,Substation,f,way/191095881,-5.987738466385821,41.52780334628913,ES,POINT (-5.987738466385821 41.52780334628913)
way/191210664-220,220,f,Substation,f,way/191210664,-5.83153522841862,36.52583856821034,ES,POINT (-5.83153522841862 36.52583856821034)
way/191480803-400,400,f,Substation,f,way/191480803,-6.5329934751049406,42.83724535266949,ES,POINT (-6.5329934751049406 42.83724535266949)
way/191485195-220,220,f,Substation,f,way/191485195,-6.566136917288619,42.61392778441411,ES,POINT (-6.566136917288619 42.61392778441411)
way/191485195-400,400,f,Substation,f,way/191485195,-6.56593655984069,42.61415603314303,ES,POINT (-6.56593655984069 42.614156033143026)
way/194101137-220,220,f,Substation,f,way/194101137,-3.687406917286866,42.19544653952089,ES,POINT (-3.687406917286866 42.19544653952089)
way/194341129-220,220,f,Substation,f,way/194341129,-6.754209046230774,42.12321672596801,ES,POINT (-6.754209046230774 42.12321672596801)
way/194360413-220,220,f,Substation,f,way/194360413,-4.160360457386783,42.879581428355095,ES,POINT (-4.160360457386783 42.879581428355095)
way/194370719-220,220,f,Substation,f,way/194370719,-5.726717537939385,43.52039061840929,ES,POINT (-5.726717537939385 43.52039061840929)
way/194699926-220,220,f,Substation,f,way/194699926,-5.83850085377576,43.02689469999577,ES,POINT (-5.83850085377576 43.02689469999577)
way/194699929-220,220,f,Substation,f,way/194699929,-6.512965068979053,42.670065014934174,ES,POINT (-6.512965068979053 42.670065014934174)
way/194701798-220,220,f,Substation,f,way/194701798,-5.038138514530208,41.72829697784072,ES,POINT (-5.038138514530208 41.728296977840714)
way/196076112-220,220,f,Substation,f,way/196076112,1.2593874640056448,42.6461343740273,ES,POINT (1.2593874640056448 42.6461343740273)
way/196202210-220,220,f,Substation,f,way/196202210,-2.242172986650839,43.04341869657072,ES,POINT (-2.242172986650839 43.04341869657072)
way/196202213-220,220,f,Substation,f,way/196202213,-2.272961335343819,43.0606285775231,ES,POINT (-2.272961335343819 43.0606285775231)
way/196202213-400,400,f,Substation,f,way/196202213,-2.272743900962132,43.06084834970704,ES,POINT (-2.272743900962132 43.06084834970704)
way/196202222-220,220,f,Substation,f,way/196202222,-2.2234937561815493,43.03914888263783,ES,POINT (-2.2234937561815493 43.039148882637825)
way/196207063-220,220,f,Substation,f,way/196207063,-1.9686357143264024,43.25972337596844,ES,POINT (-1.9686357143264024 43.25972337596844)
way/196207063-400,400,f,Substation,f,way/196207063,-1.968416535055186,43.25994250076825,ES,POINT (-1.968416535055186 43.25994250076825)
way/196207064-400,400,f,Substation,f,way/196207064,-2.252283952175828,43.21226110736611,ES,POINT (-2.2522839521758278 43.21226110736611)
way/196215046-220,220,f,Substation,f,way/196215046,-2.8807357101589783,43.34958924773773,ES,POINT (-2.8807357101589783 43.34958924773773)
way/196215046-400,400,f,Substation,f,way/196215046,-2.880519588414829,43.34981023252494,ES,POINT (-2.880519588414829 43.34981023252494)
way/196371124-220,220,f,Substation,f,way/196371124,-3.011290988264681,43.08414850406735,ES,POINT (-3.0112909882646806 43.08414850406735)
way/196371643-220,220,f,Substation,f,way/196371643,-3.001349276633606,43.03263106399783,ES,POINT (-3.001349276633606 43.032631063997826)
way/196371646-220,220,f,Substation,f,way/196371646,-2.994185508384738,43.0773791773071,ES,POINT (-2.9941855083847386 43.0773791773071)
way/196380396-220,220,f,Substation,f,way/196380396,-3.001768236557836,43.30462333415438,ES,POINT (-3.0017682365578358 43.30462333415438)
way/196478732-220,220,f,Substation,f,way/196478732,-2.9819801420417407,43.24704930554579,ES,POINT (-2.9819801420417407 43.24704930554579)
way/196483351-220,220,f,Substation,f,way/196483351,-2.5962653789989822,43.13887017331685,ES,POINT (-2.5962653789989822 43.13887017331685)
way/196484246-220,220,f,Substation,f,way/196484246,-2.4286457482931043,43.0970357428336,ES,POINT (-2.4286457482931043 43.0970357428336)
way/196484252-220,220,f,Substation,f,way/196484252,-2.3211037727198622,43.08027153322019,ES,POINT (-2.3211037727198622 43.08027153322019)
way/196522660-220,220,f,Substation,f,way/196522660,-2.746602700952966,42.83620104507566,ES,POINT (-2.746602700952966 42.83620104507566)
way/196526411-220,220,f,Substation,f,way/196526411,-2.885075123768392,42.56832009186461,ES,POINT (-2.885075123768392 42.568320091864614)
way/196533207-220,220,f,Substation,f,way/196533207,-2.382005694727712,42.60166662116287,ES,POINT (-2.3820056947277117 42.60166662116287)
way/196533213-220,220,f,Substation,f,way/196533213,-2.584782919387582,42.50773009282436,ES,POINT (-2.5847829193875826 42.50773009282436)
way/196544701-220,220,f,Substation,f,way/196544701,-0.7737460592448915,42.03796042940328,ES,POINT (-0.7737460592448915 42.037960429403284)
way/196634589-220,220,f,Substation,f,way/196634589,1.1229706410956124,41.47401431309857,ES,POINT (1.1229706410956124 41.47401431309857)
way/200253359-400,400,f,Substation,f,way/200253359,1.7192774775037607,41.25505733352672,ES,POINT (1.7192774775037607 41.25505733352672)
way/202891403-220,220,f,Substation,f,way/202891403,-3.0311169110021066,43.21872480485869,ES,POINT (-3.0311169110021066 43.21872480485869)
way/202891403-400,400,f,Substation,f,way/202891403,-3.0309017519189,43.21894610708544,ES,POINT (-3.0309017519188997 43.21894610708544)
