id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
15574,Loma De Ayala Wind Farm,Wind,Onshore,PP,Spain,20.0,,,,,37.1538,-2.6883,,0.0,0.0,0.0,{nan},{'GEM': {'G100000914619'}}
15575,Loma De Lazaro Wind Farm,Wind,Onshore,PP,Spain,16.0,,2008.0,,,36.4046,-5.7763,,0.0,0.0,0.0,{nan},{'GEM': {'G100000913457'}}
15576,Loma De Los Pinos Wind Farm,Wind,Onshore,PP,Spain,39.0,,2022.0,,,36.8794,-5.9509,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917531'}}
15577,Loma Del Capon Wind Farm,Wind,Onshore,PP,Spain,30.0,,2012.0,,,36.9556,-3.6694,,0.0,0.0,0.0,{nan},{'GEM': {'G100000916561'}}
15578,Loma Gorda Naturgy Wind Farm,Wind,Onshore,PP,Spain,50.0,,2019.0,,,41.0088,-1.9479,,0.0,0.0,0.0,{nan},{'GEM': {'G100000918532'}}
15580,Lomba Wind Farm,Wind,Onshore,PP,Spain,23.0,,2001.0,,,43.3601,-7.7501,,0.0,0.0,0.0,{nan},{'GEM': {'G100000915328'}}
15581,Lomillas Hybrid Solar Farm,Solar,PV,PP,Spain,39.0,,,,,39.4691,-2.1709,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827883'}}
15602,Lorca Alto Guadalentin Solar,Solar,PV,PP,Spain,4.2,,,,,37.6186,-1.7457,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011339'}}
15603,Lorca Alto Guadalentin Solar,Solar,PV,PP,Spain,7.2,,,,,37.6157,-1.6507999999999998,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100001010906', 'G100001011639'}}"
15604,Lorca Alto Guadalentin Solar,Solar,PV,PP,Spain,3.8,,,,,37.7598,-1.69955,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100001011363', 'G100001011267'}}"
15605,Lorca Alto Guadalentin Solar,Solar,PV,PP,Spain,1.0,,,,,37.6649,-1.8841,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011336'}}
15606,Lorca Alto Guadalentin Solar,Solar,PV,PP,Spain,1.3,,,,,37.912,-1.8326,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011203'}}
15607,Lorca Alto Guadalentin Solar,Solar,PV,PP,Spain,7.899999999999999,,,,,37.48686666666666,-1.7779666666666667,,0.0,0.0,0.0,"{nan, nan, nan}","{'GEM': {'G100001011631', 'G100001011632', 'G100001011882'}}"
15608,Lorca Solar Farm,Solar,PV,PP,Spain,339.0,,,,,37.671,-1.6973,,0.0,0.0,0.0,{nan},{'GEM': {'G100000806944'}}
15611,Los Aligars Wind Farm,Wind,Onshore,PP,Spain,33.8,,,,,40.9828,0.4058,,0.0,0.0,0.0,{nan},{'GEM': {'G100000925573'}}
15612,Los Arcos Wind Farm,Wind,Onshore,PP,Spain,35.0,,2019.0,,,37.0323,-4.9402,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917141'}}
15613,Los Ausines Wind Farm,Wind,Onshore,PP,Spain,27.0,,2016.0,,,42.2274,-3.6001,,0.0,0.0,0.0,{nan},{'GEM': {'G100000916096'}}
15614,Los Balazos Wind Farm,Wind,Onshore,PP,Spain,36.0,,,,,37.3437,-2.5084,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917266'}}
15615,Los Belos Solar Farm,Solar,PV,PP,Spain,100.0,,2020.0,,,41.49635,-1.09615,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000806805', 'G100000828167'}}"
15616,Los Campillos Wind Farm,Wind,Onshore,PP,Spain,34.0,,2006.0,,,41.3865,-2.5706,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917040'}}
15617,Los Cierzos Wind Farm,Wind,Onshore,PP,Spain,15.0,,,,,41.858,-1.351,,0.0,0.0,0.0,{nan},{'GEM': {'G100000913135'}}
15618,Los Collados Wind Farm,Wind,Onshore,PP,Spain,11.0,,2011.0,,,42.3364,-4.1084,,0.0,0.0,0.0,{nan},{'GEM': {'G100000911173'}}
15619,Los Concejiles Wind Farm,Wind,Onshore,PP,Spain,12.0,,2008.0,,,40.4509,-5.7021,,0.0,0.0,0.0,{nan},{'GEM': {'G100000911797'}}
15620,Los Escuderos Solar Farm,Solar,PV,PP,Spain,200.0,,,,,39.9312,-2.4474,,0.0,0.0,0.0,"{nan, nan, nan, nan}","{'GEM': {'G100000806729', 'G100000806726', 'G100000806727', 'G100000806728'}}"
15621,Los Frailes Solar Farm,Solar,PV,PP,Spain,50.0,,2022.0,,,38.7806,-7.0484,,0.0,0.0,0.0,{nan},{'GEM': {'G100001006172'}}
15622,Los Gigantes Wind Farm,Wind,Onshore,PP,Spain,21.0,,,,,41.098,-0.896,,0.0,0.0,0.0,{nan},{'GEM': {'G100000914928'}}
15623,Los Granujales Wind Farm,Wind,Onshore,PP,Spain,42.0,,2011.0,,,36.317800000000005,-5.953749999999999,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000914119', 'G100000915565'}}"
15624,Los Isletes Iberdrola Wind Farm,Wind,Onshore,PP,Spain,35.0,,2009.0,,,36.56405,-5.88015,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000910692', 'G100000915777'}}"
15625,Los Limonetes Solar Farm,Solar,PV,PP,Spain,49.9,,,,,38.7771,-6.8101,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827886'}}
15626,Los Lirios Wind Farm,Wind,Onshore,PP,Spain,48.0,,2010.0,,,37.3736,-7.3771,,0.0,0.0,0.0,{nan},{'GEM': {'G100000918204'}}
15627,Los Llanos Naturgy Wind Farm,Wind,Onshore,PP,Spain,20.0,,2000.0,,,36.3886,-5.2839,,0.0,0.0,0.0,{nan},{'GEM': {'G100000914624'}}
15628,Los Llanos Solar Farm Spain,Solar,PV,PP,Spain,132.1,,,,,38.3183,-6.3768,,0.0,0.0,0.0,"{nan, nan, nan}","{'GEM': {'G100000806948', 'G100000806947', 'G100000806949'}}"
15629,Los Madronales Wind Farm,Wind,Onshore,PP,Spain,34.0,,2013.0,,,37.0018,-5.0228,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917041'}}
15630,Los Monegros Solar,Solar,PV,PP,Spain,1.3,,,,,41.9766,-0.5183,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011106'}}
15631,Los Monegros Solar,Solar,PV,PP,Spain,1.1,,,,,41.8464,-0.2642,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011921'}}
15632,Los Monegros Solar,Solar,PV,PP,Spain,12.8,,,,,41.8017,-0.0829,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011068'}}
15633,Los Morrones Wind Farm,Wind,Onshore,PP,Spain,30.0,,2007.0,,,37.5032,-2.8504,,0.0,0.0,0.0,{nan},{'GEM': {'G100000916564'}}
15634,Los Naranjos Solar Farm,Solar,PV,PP,Spain,50.0,,2020.0,,,37.4283,-5.8708,,0.0,0.0,0.0,{nan},{'GEM': {'G100000806671'}}
15635,Los Navalmorales Solar,Solar,PV,PP,Spain,6.6,,2008.0,,,39.7199,-4.6529,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010632'}}
15636,Los Pedreros Wind Farm,Wind,Onshore,PP,Spain,84.0,,2005.0,,,38.69355,-1.3981,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000918537', 'G100000917060'}}"
15637,Los Sillones Wind Farm,Wind,Onshore,PP,Spain,16.0,,2003.0,,,37.1701,-4.1501,,0.0,0.0,0.0,{nan},{'GEM': {'G100000913459'}}
15638,Los Verdinales Solar,Solar,PV,PP,Spain,15.0,,2020.0,,,41.542,-4.631,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010647'}}
15639,Los Visos Wind Farm,Wind,Onshore,PP,Spain,38.0,,2005.0,,,41.689,-1.422,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917461'}}
15640,Los Zapateros Wind Farm,Wind,Onshore,PP,Spain,49.0,,2011.0,,,42.2143,-4.0651,,0.0,0.0,0.0,{nan},{'GEM': {'G100000918311'}}
15641,Losa Del Obispo Solar,Solar,PV,PP,Spain,7.4,,2011.0,,,39.687,-0.852,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010642'}}
15642,Losan Pina,Natural Gas,CCGT,CHP,Spain,23.0,,2003.0,,,39.99519,-2.04026,,0.0,0.0,0.0,{nan},{'GEM': {'L100000400686'}}
15643,Losan Talosa,Natural Gas,CCGT,CHP,Spain,23.0,,2018.0,,,41.78313,-2.51152,,0.0,0.0,0.0,{nan},{'GEM': {'L100000400687'}}
15696,Lucainena De Las Torres Solar,Solar,PV,PP,Spain,15.3,,2008.0,,,37.015,-2.176,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010479'}}
15708,Lugo Solar,Solar,PV,PP,Spain,2.0,,,,,42.9476,-7.6998,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011252'}}
15730,Luzentia Solar Farm,Solar,PV,PP,Spain,23.0,,2007.0,,,38.4715,-1.4231,,0.0,0.0,0.0,{nan},{'GEM': {'G100000807106'}}
15731,Luzon Norte Wind Farm,Wind,Onshore,PP,Spain,38.0,,2006.0,,,41.0513,-2.2704,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917462'}}
15778,Madrid Solar,Solar,PV,PP,Spain,1.8,,,,,40.3621,-3.7077,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011579'}}
15779,Madridejos Solar,Solar,PV,PP,Spain,8.8,,2008.0,,,39.492,-3.535,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010633'}}
15783,Magacela Solar,Solar,PV,PP,Spain,10.9,,2008.0,,,38.913,-5.7048,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010494'}}
15784,Magallon Wind Farm,Wind,Onshore,PP,Spain,11.0,,2003.0,,,41.792,-1.419,,0.0,0.0,0.0,{nan},{'GEM': {'G100000911177'}}
15785,Magaz Erbi Wind Farm,Wind,Onshore,PP,Spain,30.0,,2008.0,,,41.9924,-4.4851,,0.0,0.0,0.0,{nan},{'GEM': {'G100000916568'}}
15794,Mahora Solar,Solar,PV,PP,Spain,15.0,,2008.0,,,39.2101,-1.75,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010471'}}
15804,Majada Alta Solar Farm,Solar,PV,PP,Spain,99.8,,2022.0,,,39.6511,-7.4991,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000827905', 'G100000828086'}}"
15805,Majadas Csp Solar Farm,Solar,CSP,PP,Spain,50.0,,2010.0,,,39.9696,-5.7417,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827906'}}
15806,Majal Alto Wind Farm,Wind,Onshore,PP,Spain,50.0,,2009.0,,,37.6114,-7.2458,,0.0,0.0,0.0,{nan},{'GEM': {'G100000918544'}}
15817,Malagon Solar,Solar,PV,PP,Spain,8.1,,2008.0,,,39.261,-4.087,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010527'}}
15824,Malefaton Wind Farm,Wind,Onshore,PP,Spain,50.0,,2000.0,,,38.9601,-1.4401,,0.0,0.0,0.0,{nan},{'GEM': {'G100000918547'}}
15829,Malpica Wind Farm,Wind,Onshore,PP,Spain,17.0,,1997.0,,2016.0,39.3261,-4.838,,0.0,0.0,0.0,{nan},{'GEM': {'G100000913764'}}
15838,Manantiales Solar Farm,Solar,PV,PP,Spain,30.0,,,,,40.8831,-2.759,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827910'}}
15839,Manchasol Csp Solar Farm,Solar,CSP,PP,Spain,100.0,,2011.0,,,39.18295,-3.31235,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000827912', 'G100000827911'}}"
15869,Manzanares Elawan Energy Solar Farm,Solar,PV,PP,Spain,36.0,,,,,39.0492,-3.3328,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827917'}}
